# Coincidences
# 2024-12-12 19:13:21
# Unit Channel: 1
# Unit CoincCounts: 1
# Channel ; CoincCounts
 0.0000000E+000 ;  4.5190000E+003
 1.0000000E+000 ;  0.0000000E+000
 2.0000000E+000 ;  0.0000000E+000
 3.0000000E+000 ;  0.0000000E+000
 4.0000000E+000 ;  0.0000000E+000
 5.0000000E+000 ;  0.0000000E+000
 6.0000000E+000 ;  0.0000000E+000
 7.0000000E+000 ;  0.0000000E+000
 8.0000000E+000 ;  0.0000000E+000
 9.0000000E+000 ;  0.0000000E+000
 1.0000000E+001 ;  0.0000000E+000
 1.1000000E+001 ;  0.0000000E+000
 1.2000000E+001 ;  0.0000000E+000
 1.3000000E+001 ;  0.0000000E+000
 1.4000000E+001 ;  0.0000000E+000
 1.5000000E+001 ;  0.0000000E+000
 1.6000000E+001 ;  0.0000000E+000
 1.7000000E+001 ;  0.0000000E+000
 1.8000000E+001 ;  0.0000000E+000
 1.9000000E+001 ;  0.0000000E+000
 2.0000000E+001 ;  0.0000000E+000
 2.1000000E+001 ;  0.0000000E+000
 2.2000000E+001 ;  0.0000000E+000
 2.3000000E+001 ;  0.0000000E+000
 2.4000000E+001 ;  0.0000000E+000
 2.5000000E+001 ;  0.0000000E+000
